SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP
S04,15,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,CP,AC,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,16,9,MUSIC,0,diff,BEE2,BEE1,AC,BP,AC,MH,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,17,2,MUSIC,0,same,BEE1,BEE1,BP,AC,MH,CP,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,18,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,CP,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,19,1,MUSIC,0,same,BEE1,BEE1,AC,CP,MH,AC,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,20,22,INSTR,6,diff,viulut,viulut2,BP,MH,AC,CP,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,21,20,INSTR,12,same,viulut,viulut,CP,AC,BP,MH,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,22,8,MUSIC,0,diff,BEE1,BEE2,CP,AC,BP,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,23,20,INSTR,4,same,viulut,viulut,CP,CP,AC,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,24,18,INSTR,10,same,viulut,viulut,BP,BP,AC,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,25,16,MUSIC,0,same,BEE2,BEE2,CP,BP,CP,MH,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,26,4,MUSIC,0,same,BEE1,BEE1,CP,CP,MH,BP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,27,10,MUSIC,0,diff,BEE2,BEE1,BP,CP,AC,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,28,12,MUSIC,0,diff,BEE2,BEE1,CP,AC,CP,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,29,19,INSTR,3,same,viulut,viulut,MH,AC,CP,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,30,13,MUSIC,0,same,BEE2,BEE2,AC,MH,BP,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,31,3,MUSIC,0,same,BEE1,BEE1,MH,CP,AC,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,32,12,MUSIC,0,diff,BEE2,BEE1,CP,BP,MH,AC,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,33,14,MUSIC,0,same,BEE2,BEE2,BP,CP,AC,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,34,15,MUSIC,0,same,BEE2,BEE2,MH,BP,CP,MH,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,35,3,MUSIC,0,same,BEE1,BEE1,MH,BP,MH,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,36,16,MUSIC,0,same,BEE2,BEE2,CP,AC,MH,CP,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,37,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,AC,CP,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,38,18,INSTR,2,same,viulut,viulut,BP,CP,AC,BP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,39,1,MUSIC,0,same,BEE1,BEE1,AC,CP,BP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,40,14,MUSIC,0,same,BEE2,BEE2,BP,AC,CP,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,41,21,INSTR,13,diff,viulut,viulut2,AC,BP,AC,MH,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,42,17,INSTR,9,same,viulut,viulut,AC,CP,MH,BP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,43,11,MUSIC,0,diff,BEE2,BEE1,MH,CP,MH,AC,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,44,4,MUSIC,0,same,BEE1,BEE1,CP,MH,BP,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,45,11,MUSIC,0,diff,BEE2,BEE1,MH,MH,CP,BP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,46,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,MH,BP,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,47,23,INSTR,15,diff,viulut,viulut2,MH,MH,BP,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,48,2,MUSIC,0,same,BEE1,BEE1,BP,CP,BP,MH,AC,NA,0,13-Jan-2020 15:27:52,0,1
