SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP,EXPERTICE,HEADPHONE
17,4GwhMP,17,11,MUSIC,0,diff,BEE2,BEE1,MH,BP,AC,MH,CP,AC,0,2020-11-10 18:30:33,0,1,experienced,Audiotechnica ATH-M5X
18,4GwhMP,18,23,INSTR,4,diff,viulut,viulut2,MH,MH,AC,BP,CP,CP,0,2020-11-10 18:30:48,0,1,experienced,Audiotechnica ATH-M5X
19,4GwhMP,19,3,MUSIC,0,same,BEE1,BEE1,MH,AC,BP,CP,MH,MH,1,2020-11-10 18:31:32,0,0,experienced,Audiotechnica ATH-M5X
20,4GwhMP,20,5,MUSIC,0,diff,BEE1,BEE2,AC,MH,AC,BP,CP,AC,1,2020-11-10 18:32:03,0,0,experienced,Audiotechnica ATH-M5X
21,4GwhMP,21,9,MUSIC,0,diff,BEE2,BEE1,AC,MH,AC,BP,CP,MH,0,2020-11-10 18:32:36,0,1,experienced,Audiotechnica ATH-M5X
22,4GwhMP,22,15,MUSIC,0,same,BEE2,BEE2,MH,AC,CP,BP,MH,AC,0,2020-11-10 18:32:52,0,1,experienced,Audiotechnica ATH-M5X
23,4GwhMP,23,27,INSTR,3,same,viulut,viulut,MH,MH,CP,BP,AC,MH,1,2020-11-10 18:33:03,0,1,experienced,Audiotechnica ATH-M5X
24,4GwhMP,24,7,MUSIC,0,diff,BEE1,BEE2,MH,MH,AC,CP,BP,BP,0,2020-11-10 18:33:39,0,0,experienced,Audiotechnica ATH-M5X
25,4GwhMP,25,8,MUSIC,0,diff,BEE1,BEE2,CP,MH,CP,AC,BP,BP,0,2020-11-10 18:33:59,0,0,experienced,Audiotechnica ATH-M5X
26,4GwhMP,26,28,INSTR,13,same,viulut,viulut,CP,BP,CP,MH,AC,CP,1,2020-11-10 18:34:42,0,1,experienced,Audiotechnica ATH-M5X
27,4GwhMP,27,26,INSTR,8,same,viulut,viulut,BP,MH,AC,BP,CP,BP,1,2020-11-10 18:35:03,0,1,experienced,Audiotechnica ATH-M5X
28,4GwhMP,28,6,MUSIC,0,diff,BEE1,BEE2,BP,AC,MH,BP,CP,MH,0,2020-11-10 18:35:27,0,0,experienced,Audiotechnica ATH-M5X
29,4GwhMP,29,19,INSTR,15,same,viulut,viulut,MH,MH,AC,BP,CP,MH,1,2020-11-10 18:35:56,0,1,experienced,Audiotechnica ATH-M5X
30,4GwhMP,30,21,INSTR,14,diff,viulut,viulut2,AC,BP,CP,MH,AC,AC,1,2020-11-10 18:36:08,0,1,experienced,Audiotechnica ATH-M5X
31,4GwhMP,31,14,MUSIC,0,same,BEE2,BEE2,BP,AC,BP,MH,CP,CP,0,2020-11-10 18:36:37,0,1,experienced,Audiotechnica ATH-M5X
32,4GwhMP,32,4,MUSIC,0,same,BEE1,BEE1,CP,CP,BP,AC,MH,CP,1,2020-11-10 18:36:50,0,0,experienced,Audiotechnica ATH-M5X
110,56IycUX,1,4,MUSIC,0,same,BEE1,BEE1,CP,CP,MH,AC,BP,MH,0,2020-11-09 05:19:16,0,0,novice,AKG801
210,56IycUX,2,12,MUSIC,0,diff,BEE2,BEE1,CP,MH,AC,BP,CP,BP,0,2020-11-09 05:22:27,0,1,novice,AKG801
33,56IycUX,3,7,MUSIC,0,diff,BEE1,BEE2,MH,CP,MH,BP,AC,CP,0,2020-11-09 05:27:21,0,0,novice,AKG801
41,56IycUX,4,29,INSTR,10,diff,viulut,viulut2,AC,BP,MH,CP,AC,MH,0,2020-11-09 05:30:21,0,1,novice,AKG801
51,56IycUX,5,18,INSTR,8,same,viulut,viulut,BP,AC,MH,BP,CP,BP,1,2020-11-09 05:33:31,0,1,novice,AKG801
61,56IycUX,6,3,MUSIC,0,same,BEE1,BEE1,MH,MH,CP,BP,AC,MH,1,2020-11-09 05:35:02,0,0,novice,AKG801
71,56IycUX,7,5,MUSIC,0,diff,BEE1,BEE2,AC,BP,AC,CP,MH,AC,1,2020-11-09 05:37:32,0,0,novice,AKG801
81,56IycUX,8,28,INSTR,15,same,viulut,viulut,CP,MH,CP,AC,BP,BP,0,2020-11-09 05:41:07,0,1,novice,AKG801
91,56IycUX,9,21,INSTR,4,diff,viulut,viulut2,AC,CP,MH,AC,BP,AC,1,2020-11-09 05:55:58,0,1,novice,AKG801
101,56IycUX,10,10,MUSIC,0,diff,BEE2,BEE1,BP,BP,AC,MH,CP,MH,0,2020-11-09 05:58:09,0,1,novice,AKG801
111,56IycUX,11,26,INSTR,9,same,viulut,viulut,BP,BP,AC,MH,CP,CP,0,2020-11-09 06:04:47,0,1,novice,AKG801
121,56IycUX,12,14,MUSIC,0,same,BEE2,BEE2,BP,MH,AC,BP,CP,BP,1,2020-11-09 06:07:57,0,1,novice,AKG801
131,56IycUX,13,2,MUSIC,0,same,BEE1,BEE1,BP,MH,AC,CP,BP,AC,0,2020-11-09 06:14:49,0,0,novice,AKG801
141,56IycUX,14,17,INSTR,14,same,viulut,viulut,AC,CP,MH,BP,AC,AC,1,2020-11-09 06:19:05,0,1,novice,AKG801
151,56IycUX,15,25,INSTR,11,same,viulut,viulut,AC,CP,MH,AC,BP,MH,0,2020-11-09 06:20:56,0,1,novice,AKG801
161,56IycUX,16,22,INSTR,1,diff,viulut,viulut2,BP,BP,AC,MH,CP,BP,1,2020-11-09 06:24:14,0,1,novice,AKG801
171,56IycUX,17,24,INSTR,13,diff,viulut,viulut2,CP,AC,CP,MH,BP,MH,0,2020-11-09 06:35:00,0,1,novice,AKG801
181,56IycUX,18,16,MUSIC,0,same,BEE2,BEE2,CP,CP,MH,BP,AC,CP,1,2020-11-09 06:39:39,0,1,novice,AKG801
191,56IycUX,19,13,MUSIC,0,same,BEE2,BEE2,AC,BP,MH,CP,AC,AC,1,2020-11-09 06:44:44,0,1,novice,AKG801
201,56IycUX,20,11,MUSIC,0,diff,BEE2,BEE1,MH,MH,BP,CP,AC,AC,0,2020-11-09 06:50:37,0,1,novice,AKG801
211,56IycUX,21,19,INSTR,12,same,viulut,viulut,MH,AC,MH,BP,CP,MH,1,2020-11-09 06:51:44,0,1,novice,AKG801
221,56IycUX,22,15,MUSIC,0,same,BEE2,BEE2,MH,BP,AC,CP,MH,CP,0,2020-11-09 06:53:07,0,1,novice,AKG801
231,56IycUX,23,9,MUSIC,0,diff,BEE2,BEE1,AC,CP,AC,BP,MH,AC,1,2020-11-09 06:57:10,0,1,novice,AKG801
241,56IycUX,24,27,INSTR,5,same,viulut,viulut,MH,AC,CP,MH,BP,AC,0,2020-11-09 06:58:54,0,1,novice,AKG801
251,56IycUX,25,30,INSTR,6,diff,viulut,viulut2,BP,CP,MH,BP,AC,CP,0,2020-11-09 07:02:20,0,1,novice,AKG801
261,56IycUX,26,32,INSTR,2,diff,viulut,viulut2,CP,CP,AC,MH,BP,BP,0,2020-11-09 07:03:56,0,1,novice,AKG801
271,56IycUX,27,31,INSTR,16,diff,viulut,viulut2,MH,AC,BP,CP,MH,MH,1,2020-11-09 07:06:16,0,1,novice,AKG801
281,56IycUX,28,8,MUSIC,0,diff,BEE1,BEE2,CP,MH,AC,BP,CP,AC,0,2020-11-09 07:08:52,0,0,novice,AKG801
291,56IycUX,29,23,INSTR,7,diff,viulut,viulut2,MH,AC,BP,CP,MH,CP,0,2020-11-09 07:11:13,0,1,novice,AKG801
301,56IycUX,30,20,INSTR,3,same,viulut,viulut,CP,MH,AC,CP,BP,AC,0,2020-11-09 07:14:27,0,1,novice,AKG801
311,56IycUX,31,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,BP,CP,AC,AC,0,2020-11-09 07:15:48,0,0,novice,AKG801
321,56IycUX,32,1,MUSIC,0,same,BEE1,BEE1,AC,BP,CP,MH,AC,AC,1,2020-11-09 07:17:14,0,0,novice,AKG801
112,5QG,1,32,INSTR,6,diff,viulut,viulut2,CP,CP,BP,MH,AC,BP,0,2020-12-12 14:52:51,0,1,expert,Sennheiser HD 580
212,5QG,2,25,INSTR,8,same,viulut,viulut,AC,AC,MH,CP,BP,AC,1,2020-12-12 14:53:41,0,1,expert,Sennheiser HD 580
34,5QG,3,19,INSTR,9,same,viulut,viulut,MH,CP,AC,BP,MH,BP,0,2020-12-12 14:54:55,0,1,expert,Sennheiser HD 580
42,5QG,4,15,MUSIC,0,same,BEE2,BEE2,MH,MH,CP,AC,BP,MH,1,2020-12-12 14:57:37,0,1,expert,Sennheiser HD 580
52,5QG,5,22,INSTR,13,diff,viulut,viulut2,BP,BP,MH,CP,AC,CP,0,2020-12-12 14:59:46,0,1,expert,Sennheiser HD 580
62,5QG,6,11,MUSIC,0,diff,BEE2,BEE1,MH,MH,BP,CP,AC,BP,0,2020-12-12 15:01:07,0,1,expert,Sennheiser HD 580
72,5QG,7,30,INSTR,11,diff,viulut,viulut2,BP,AC,CP,BP,MH,MH,0,2020-12-12 15:02:26,0,1,expert,Sennheiser HD 580
82,5QG,8,26,INSTR,12,same,viulut,viulut,BP,MH,BP,AC,CP,BP,1,2020-12-12 15:04:03,0,1,expert,Sennheiser HD 580
92,5QG,9,28,INSTR,10,same,viulut,viulut,CP,BP,AC,MH,CP,CP,1,2020-12-12 15:05:32,0,1,expert,Sennheiser HD 580
102,5QG,10,31,INSTR,5,diff,viulut,viulut2,MH,AC,CP,MH,BP,CP,0,2020-12-12 15:07:20,0,1,expert,Sennheiser HD 580
113,5QG,11,6,MUSIC,0,diff,BEE1,BEE2,BP,BP,MH,CP,AC,MH,0,2020-12-12 15:08:37,0,0,expert,Sennheiser HD 580
122,5QG,12,5,MUSIC,0,diff,BEE1,BEE2,AC,AC,MH,CP,BP,AC,1,2020-12-12 15:09:24,0,0,expert,Sennheiser HD 580
132,5QG,13,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,CP,MH,BP,BP,1,2020-12-12 15:10:34,0,1,expert,Sennheiser HD 580
142,5QG,14,13,MUSIC,0,same,BEE2,BEE2,AC,AC,MH,BP,CP,AC,1,2020-12-12 15:11:03,0,1,expert,Sennheiser HD 580
152,5QG,15,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,BP,MH,CP,BP,0,2020-12-12 15:15:54,0,0,expert,Sennheiser HD 580
162,5QG,16,23,INSTR,3,diff,viulut,viulut2,MH,MH,CP,AC,BP,MH,1,2020-12-12 15:21:41,0,1,expert,Sennheiser HD 580
172,5QG,17,29,INSTR,1,diff,viulut,viulut2,AC,CP,BP,AC,MH,AC,1,2020-12-12 15:22:14,0,1,expert,Sennheiser HD 580
182,5QG,18,14,MUSIC,0,same,BEE2,BEE2,BP,MH,BP,CP,AC,BP,1,2020-12-12 15:22:57,0,1,expert,Sennheiser HD 580
192,5QG,19,27,INSTR,2,same,viulut,viulut,MH,CP,AC,BP,MH,MH,1,2020-12-12 15:25:07,0,1,expert,Sennheiser HD 580
202,5QG,20,18,INSTR,16,same,viulut,viulut,BP,BP,CP,AC,MH,BP,1,2020-12-12 15:27:04,0,1,expert,Sennheiser HD 580
213,5QG,21,2,MUSIC,0,same,BEE1,BEE1,BP,MH,BP,CP,AC,BP,1,2020-12-12 15:28:10,0,0,expert,Sennheiser HD 580
222,5QG,22,21,INSTR,15,diff,viulut,viulut2,AC,MH,BP,CP,AC,AC,1,2020-12-12 15:29:09,0,1,expert,Sennheiser HD 580
232,5QG,23,24,INSTR,14,diff,viulut,viulut2,CP,MH,CP,BP,AC,CP,1,2020-12-12 15:30:01,0,1,expert,Sennheiser HD 580
242,5QG,24,12,MUSIC,0,diff,BEE2,BEE1,CP,BP,CP,AC,MH,BP,0,2020-12-12 15:31:03,0,1,expert,Sennheiser HD 580
252,5QG,25,17,INSTR,4,same,viulut,viulut,AC,MH,BP,AC,CP,MH,0,2020-12-12 15:32:12,0,1,expert,Sennheiser HD 580
262,5QG,26,3,MUSIC,0,same,BEE1,BEE1,MH,AC,MH,CP,BP,MH,1,2020-12-12 15:34:25,0,0,expert,Sennheiser HD 580
272,5QG,27,8,MUSIC,0,diff,BEE1,BEE2,CP,MH,AC,BP,CP,CP,1,2020-12-12 15:35:10,0,0,expert,Sennheiser HD 580
282,5QG,28,4,MUSIC,0,same,BEE1,BEE1,CP,AC,MH,CP,BP,CP,1,2020-12-12 15:35:50,0,0,expert,Sennheiser HD 580
292,5QG,29,9,MUSIC,0,diff,BEE2,BEE1,AC,MH,BP,CP,AC,BP,0,2020-12-12 15:38:10,0,1,expert,Sennheiser HD 580
302,5QG,30,20,INSTR,7,same,viulut,viulut,CP,MH,BP,CP,AC,CP,1,2020-12-12 15:39:13,0,1,expert,Sennheiser HD 580
312,5QG,31,16,MUSIC,0,same,BEE2,BEE2,CP,AC,MH,CP,BP,CP,1,2020-12-12 15:40:30,0,1,expert,Sennheiser HD 580
322,5QG,32,1,MUSIC,0,same,BEE1,BEE1,AC,MH,BP,CP,AC,AC,1,2020-12-12 15:44:29,0,0,expert,Sennheiser HD 580
114,5WsqUN,1,3,MUSIC,0,same,BEE1,BEE1,MH,BP,MH,CP,AC,MH,1,2020-12-17 12:07:03,0,0,novice,FOCAL Spirit One
214,5WsqUN,2,17,INSTR,1,same,viulut,viulut,AC,MH,BP,AC,CP,CP,0,2020-12-17 12:09:11,0,1,novice,FOCAL Spirit One
35,5WsqUN,3,29,INSTR,7,diff,viulut,viulut2,AC,AC,MH,BP,CP,AC,1,2020-12-17 12:10:43,0,1,novice,FOCAL Spirit One
43,5WsqUN,4,26,INSTR,11,same,viulut,viulut,BP,AC,MH,BP,CP,AC,0,2020-12-17 12:12:19,0,1,novice,FOCAL Spirit One
53,5WsqUN,5,20,INSTR,15,same,viulut,viulut,CP,AC,BP,CP,MH,MH,0,2020-12-17 12:13:27,0,1,novice,FOCAL Spirit One
63,5WsqUN,6,14,MUSIC,0,same,BEE2,BEE2,BP,AC,BP,CP,MH,CP,0,2020-12-17 12:14:27,0,1,novice,FOCAL Spirit One
73,5WsqUN,7,21,INSTR,12,diff,viulut,viulut2,AC,BP,CP,AC,MH,BP,0,2020-12-17 12:15:40,0,1,novice,FOCAL Spirit One
83,5WsqUN,8,13,MUSIC,0,same,BEE2,BEE2,AC,MH,AC,CP,BP,CP,0,2020-12-17 12:16:15,0,1,novice,FOCAL Spirit One
93,5WsqUN,9,6,MUSIC,0,diff,BEE1,BEE2,BP,CP,AC,BP,MH,CP,0,2020-12-17 12:17:40,0,0,novice,FOCAL Spirit One
103,5WsqUN,10,30,INSTR,14,diff,viulut,viulut2,BP,AC,MH,BP,CP,BP,1,2020-12-17 12:18:29,0,1,novice,FOCAL Spirit One
115,5WsqUN,11,10,MUSIC,0,diff,BEE2,BEE1,BP,MH,BP,CP,AC,AC,0,2020-12-17 12:20:11,0,1,novice,FOCAL Spirit One
123,5WsqUN,12,32,INSTR,4,diff,viulut,viulut2,CP,AC,CP,BP,MH,MH,0,2020-12-17 12:21:55,0,1,novice,FOCAL Spirit One
133,5WsqUN,13,18,INSTR,16,same,viulut,viulut,BP,AC,MH,BP,CP,AC,0,2020-12-17 12:22:54,0,1,novice,FOCAL Spirit One
143,5WsqUN,14,8,MUSIC,0,diff,BEE1,BEE2,CP,MH,BP,AC,CP,AC,0,2020-12-17 12:23:46,0,0,novice,FOCAL Spirit One
153,5WsqUN,15,11,MUSIC,0,diff,BEE2,BEE1,MH,BP,CP,AC,MH,BP,0,2020-12-17 12:25:32,0,1,novice,FOCAL Spirit One
163,5WsqUN,16,23,INSTR,10,diff,viulut,viulut2,MH,MH,AC,CP,BP,MH,1,2020-12-17 12:26:24,0,1,novice,FOCAL Spirit One
173,5WsqUN,17,27,INSTR,3,same,viulut,viulut,MH,MH,BP,CP,AC,BP,0,2020-12-17 12:27:31,0,1,novice,FOCAL Spirit One
183,5WsqUN,18,4,MUSIC,0,same,BEE1,BEE1,CP,CP,MH,AC,BP,BP,0,2020-12-17 12:28:21,0,0,novice,FOCAL Spirit One
193,5WsqUN,19,12,MUSIC,0,diff,BEE2,BEE1,CP,MH,BP,AC,CP,MH,0,2020-12-17 12:29:45,0,1,novice,FOCAL Spirit One
203,5WsqUN,20,16,MUSIC,0,same,BEE2,BEE2,CP,MH,BP,CP,AC,CP,1,2020-12-17 12:31:29,0,1,novice,FOCAL Spirit One
215,5WsqUN,21,19,INSTR,2,same,viulut,viulut,MH,MH,CP,BP,AC,CP,0,2020-12-17 12:33:20,0,1,novice,FOCAL Spirit One
223,5WsqUN,22,5,MUSIC,0,diff,BEE1,BEE2,AC,BP,MH,CP,AC,AC,1,2020-12-17 12:34:02,0,0,novice,FOCAL Spirit One
233,5WsqUN,23,2,MUSIC,0,same,BEE1,BEE1,BP,BP,MH,CP,AC,CP,0,2020-12-17 12:35:12,0,0,novice,FOCAL Spirit One
243,5WsqUN,24,31,INSTR,13,diff,viulut,viulut2,MH,CP,MH,AC,BP,CP,0,2020-12-17 12:36:26,0,1,novice,FOCAL Spirit One
253,5WsqUN,25,28,INSTR,8,same,viulut,viulut,CP,AC,BP,CP,MH,CP,1,2020-12-17 12:37:24,0,1,novice,FOCAL Spirit One
263,5WsqUN,26,1,MUSIC,0,same,BEE1,BEE1,AC,MH,AC,BP,CP,AC,1,2020-12-17 12:38:20,0,0,novice,FOCAL Spirit One
273,5WsqUN,27,24,INSTR,9,diff,viulut,viulut2,CP,BP,MH,AC,CP,BP,0,2020-12-17 12:39:42,0,1,novice,FOCAL Spirit One
283,5WsqUN,28,25,INSTR,6,same,viulut,viulut,AC,MH,CP,BP,AC,BP,0,2020-12-17 12:40:15,0,1,novice,FOCAL Spirit One
293,5WsqUN,29,7,MUSIC,0,diff,BEE1,BEE2,MH,BP,AC,CP,MH,BP,0,2020-12-17 12:40:58,0,0,novice,FOCAL Spirit One
303,5WsqUN,30,9,MUSIC,0,diff,BEE2,BEE1,AC,AC,BP,MH,CP,CP,0,2020-12-17 12:41:59,0,1,novice,FOCAL Spirit One
313,5WsqUN,31,15,MUSIC,0,same,BEE2,BEE2,MH,AC,CP,BP,MH,MH,1,2020-12-17 12:43:05,0,1,novice,FOCAL Spirit One
323,5WsqUN,32,22,INSTR,5,diff,viulut,viulut2,BP,MH,BP,CP,AC,MH,0,2020-12-17 12:44:04,0,1,novice,FOCAL Spirit One
116,HAYtW,1,16,MUSIC,0,same,BEE2,BEE2,CP,AC,BP,CP,MH,CP,1,2020-11-07 11:40:19,0,1,novice,Superlux HD681
216,HAYtW,2,31,INSTR,7,diff,viulut,viulut2,MH,CP,AC,MH,BP,AC,0,2020-11-07 11:41:47,0,1,novice,Superlux HD681
36,HAYtW,3,26,INSTR,14,same,viulut,viulut,BP,BP,MH,CP,AC,BP,1,2020-11-07 11:43:11,0,1,novice,Superlux HD681
44,HAYtW,4,23,INSTR,11,diff,viulut,viulut2,MH,AC,MH,BP,CP,MH,1,2020-11-07 11:44:26,0,1,novice,Superlux HD681
54,HAYtW,5,5,MUSIC,0,diff,BEE1,BEE2,AC,CP,MH,AC,BP,AC,1,2020-11-07 11:45:55,0,0,novice,Superlux HD681
64,HAYtW,6,17,INSTR,13,same,viulut,viulut,AC,MH,CP,AC,BP,BP,0,2020-11-07 11:47:00,0,1,novice,Superlux HD681
74,HAYtW,7,2,MUSIC,0,same,BEE1,BEE1,BP,BP,AC,MH,CP,CP,0,2020-11-07 11:47:42,0,0,novice,Superlux HD681
84,HAYtW,8,1,MUSIC,0,same,BEE1,BEE1,AC,BP,AC,CP,MH,MH,0,2020-11-07 11:48:32,0,0,novice,Superlux HD681
94,HAYtW,9,25,INSTR,3,same,viulut,viulut,AC,AC,BP,CP,MH,AC,1,2020-11-07 11:49:27,0,1,novice,Superlux HD681
104,HAYtW,10,7,MUSIC,0,diff,BEE1,BEE2,MH,BP,CP,MH,AC,AC,0,2020-11-07 11:49:59,0,0,novice,Superlux HD681
117,HAYtW,11,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,BP,AC,CP,BP,1,2020-11-07 11:51:00,0,0,novice,Superlux HD681
124,HAYtW,12,11,MUSIC,0,diff,BEE2,BEE1,MH,BP,MH,CP,AC,BP,0,2020-11-07 11:52:28,0,1,novice,Superlux HD681
134,HAYtW,13,14,MUSIC,0,same,BEE2,BEE2,BP,AC,CP,BP,MH,MH,0,2020-11-07 11:53:40,0,1,novice,Superlux HD681
144,HAYtW,14,8,MUSIC,0,diff,BEE1,BEE2,CP,BP,CP,MH,AC,AC,0,2020-11-07 11:55:05,0,0,novice,Superlux HD681
154,HAYtW,15,9,MUSIC,0,diff,BEE2,BEE1,AC,AC,MH,CP,BP,MH,0,2020-11-07 11:56:20,0,1,novice,Superlux HD681
164,HAYtW,16,20,INSTR,5,same,viulut,viulut,CP,MH,CP,BP,AC,CP,1,2020-11-07 11:57:23,0,1,novice,Superlux HD681
174,HAYtW,17,4,MUSIC,0,same,BEE1,BEE1,CP,BP,MH,CP,AC,CP,1,2020-11-07 11:58:32,0,0,novice,Superlux HD681
184,HAYtW,18,24,INSTR,12,diff,viulut,viulut2,CP,CP,AC,MH,BP,CP,1,2020-11-07 11:59:19,0,1,novice,Superlux HD681
194,HAYtW,19,28,INSTR,8,same,viulut,viulut,CP,CP,AC,BP,MH,CP,1,2020-11-07 12:00:07,0,1,novice,Superlux HD681
204,HAYtW,20,30,INSTR,4,diff,viulut,viulut2,BP,BP,MH,AC,CP,MH,0,2020-11-07 12:01:00,0,1,novice,Superlux HD681
217,HAYtW,21,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,MH,CP,BP,BP,1,2020-11-07 12:02:13,0,1,novice,Superlux HD681
224,HAYtW,22,3,MUSIC,0,same,BEE1,BEE1,MH,BP,MH,CP,AC,MH,1,2020-11-07 12:02:48,0,0,novice,Superlux HD681
234,HAYtW,23,21,INSTR,10,diff,viulut,viulut2,AC,CP,MH,BP,AC,AC,1,2020-11-07 12:03:04,0,1,novice,Superlux HD681
244,HAYtW,24,18,INSTR,15,same,viulut,viulut,BP,AC,BP,MH,CP,BP,1,2020-11-07 12:03:56,0,1,novice,Superlux HD681
254,HAYtW,25,32,INSTR,6,diff,viulut,viulut2,CP,CP,MH,AC,BP,CP,1,2020-11-07 12:05:11,0,1,novice,Superlux HD681
264,HAYtW,26,15,MUSIC,0,same,BEE2,BEE2,MH,AC,MH,CP,BP,MH,1,2020-11-07 12:05:53,0,1,novice,Superlux HD681
274,HAYtW,27,22,INSTR,2,diff,viulut,viulut2,BP,MH,AC,BP,CP,AC,0,2020-11-07 12:06:37,0,1,novice,Superlux HD681
284,HAYtW,28,13,MUSIC,0,same,BEE2,BEE2,AC,CP,AC,BP,MH,MH,0,2020-11-07 12:07:10,0,1,novice,Superlux HD681
294,HAYtW,29,29,INSTR,9,diff,viulut,viulut2,AC,AC,MH,BP,CP,AC,1,2020-11-07 12:08:15,0,1,novice,Superlux HD681
304,HAYtW,30,19,INSTR,1,same,viulut,viulut,MH,AC,CP,MH,BP,AC,0,2020-11-07 12:08:45,0,1,novice,Superlux HD681
314,HAYtW,31,12,MUSIC,0,diff,BEE2,BEE1,CP,AC,CP,BP,MH,BP,0,2020-11-07 12:09:50,0,1,novice,Superlux HD681
324,HAYtW,32,27,INSTR,16,same,viulut,viulut,MH,CP,AC,MH,BP,MH,1,2020-11-07 12:10:16,0,1,novice,Superlux HD681
118,HKzhS7,1,13,MUSIC,0,same,BEE2,BEE2,AC,BP,MH,CP,AC,AC,1,2020-11-15 21:53:38,0,1,experienced,Sennheiser HD 25-1
218,HKzhS7,2,18,INSTR,14,same,viulut,viulut,BP,MH,AC,CP,BP,CP,0,2020-11-15 21:54:32,0,1,experienced,Sennheiser HD 25-1
37,HKzhS7,3,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,CP,MH,BP,CP,0,2020-11-15 21:57:40,0,1,experienced,Sennheiser HD 25-1
45,HKzhS7,4,31,INSTR,12,diff,viulut,viulut2,MH,CP,MH,AC,BP,CP,0,2020-11-15 21:59:08,0,1,experienced,Sennheiser HD 25-1
55,HKzhS7,5,9,MUSIC,0,diff,BEE2,BEE1,AC,CP,AC,BP,MH,BP,0,2020-11-15 22:00:03,0,1,experienced,Sennheiser HD 25-1
65,HKzhS7,6,30,INSTR,7,diff,viulut,viulut2,BP,BP,AC,MH,CP,AC,0,2020-11-15 22:01:07,0,1,experienced,Sennheiser HD 25-1
75,HKzhS7,7,28,INSTR,2,same,viulut,viulut,CP,AC,BP,MH,CP,CP,1,2020-11-15 22:01:59,0,1,experienced,Sennheiser HD 25-1
85,HKzhS7,8,19,INSTR,15,same,viulut,viulut,MH,MH,BP,AC,CP,MH,1,2020-11-15 22:03:30,0,1,experienced,Sennheiser HD 25-1
