SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP
S2,29,32,INSTR,16,diff,viulut,viulut2,CP,MH,AC,CP,BP,AC,0,18-Jan-2020 21:09:13,0,1
S2,30,26,INSTR,10,same,viulut,viulut,BP,BP,CP,MH,AC,BP,1,18-Jan-2020 21:09:13,0,1
S2,31,27,INSTR,11,same,viulut,viulut,MH,MH,AC,CP,BP,BP,0,18-Jan-2020 21:09:13,0,1
S2,32,1,MUSIC,0,same,BEE1,BEE1,AC,BP,MH,AC,CP,AC,1,18-Jan-2020 21:09:12,0,0
S3,1,23,INSTR,7,diff,viulut,viulut2,MH,BP,AC,CP,MH,CP,0,18-Jan-2020 21:09:13,0,1
S3,2,16,MUSIC,0,same,BEE2,BEE2,CP,MH,BP,AC,CP,AC,0,18-Jan-2020 21:09:12,0,1
S3,3,30,INSTR,14,diff,viulut,viulut2,BP,MH,AC,BP,CP,AC,0,18-Jan-2020 21:09:13,0,1
S3,4,3,MUSIC,0,same,BEE1,BEE1,MH,CP,MH,BP,AC,BP,0,18-Jan-2020 21:09:12,0,0
S3,5,9,MUSIC,0,diff,BEE2,BEE1,AC,CP,BP,MH,AC,BP,0,18-Jan-2020 21:09:12,0,1
S3,6,28,INSTR,12,same,viulut,viulut,CP,MH,BP,CP,AC,BP,0,18-Jan-2020 21:09:13,0,1
S3,7,19,INSTR,3,same,viulut,viulut,MH,AC,BP,MH,CP,AC,0,18-Jan-2020 21:09:13,0,1
S3,8,26,INSTR,10,same,viulut,viulut,BP,MH,BP,CP,AC,CP,0,18-Jan-2020 21:09:13,0,1
S3,9,12,MUSIC,0,diff,BEE2,BEE1,CP,MH,AC,BP,CP,BP,0,18-Jan-2020 21:09:12,0,1
S3,10,13,MUSIC,0,same,BEE2,BEE2,AC,CP,BP,MH,AC,MH,0,18-Jan-2020 21:09:12,0,1
S3,11,20,INSTR,4,same,viulut,viulut,CP,AC,MH,CP,BP,MH,0,18-Jan-2020 21:09:13,0,1
S3,12,21,INSTR,5,diff,viulut,viulut2,AC,MH,CP,AC,BP,AC,1,18-Jan-2020 21:09:13,0,1
S3,13,18,INSTR,2,same,viulut,viulut,BP,CP,AC,BP,MH,BP,1,18-Jan-2020 21:09:13,0,1
S3,14,15,MUSIC,0,same,BEE2,BEE2,MH,AC,BP,CP,MH,CP,0,18-Jan-2020 21:09:12,0,1
S3,15,6,MUSIC,0,diff,BEE1,BEE2,BP,BP,CP,MH,AC,CP,0,18-Jan-2020 21:09:12,0,0
S3,16,8,MUSIC,0,diff,BEE1,BEE2,CP,AC,CP,BP,MH,BP,0,18-Jan-2020 21:09:12,0,0
S3,17,32,INSTR,16,diff,viulut,viulut2,CP,CP,BP,AC,MH,MH,0,18-Jan-2020 21:09:13,0,1
S3,18,29,INSTR,13,diff,viulut,viulut2,AC,BP,MH,CP,AC,MH,0,18-Jan-2020 21:09:13,0,1
S3,19,1,MUSIC,0,same,BEE1,BEE1,AC,CP,BP,MH,AC,CP,0,18-Jan-2020 21:09:12,0,0
S3,20,27,INSTR,11,same,viulut,viulut,MH,CP,BP,MH,AC,CP,0,18-Jan-2020 21:09:13,0,1
S3,21,24,INSTR,8,diff,viulut,viulut2,CP,AC,BP,MH,CP,AC,0,18-Jan-2020 21:09:13,0,1
S3,22,5,MUSIC,0,diff,BEE1,BEE2,AC,AC,BP,MH,CP,CP,0,18-Jan-2020 21:09:12,0,0
S3,23,17,INSTR,1,same,viulut,viulut,AC,MH,BP,AC,CP,MH,0,18-Jan-2020 21:09:13,0,1
S3,24,22,INSTR,6,diff,viulut,viulut2,BP,AC,CP,BP,MH,AC,0,18-Jan-2020 21:09:13,0,1
S3,25,2,MUSIC,0,same,BEE1,BEE1,BP,CP,BP,AC,MH,AC,0,18-Jan-2020 21:09:12,0,0
S3,26,14,MUSIC,0,same,BEE2,BEE2,BP,CP,MH,BP,AC,MH,0,18-Jan-2020 21:09:12,0,1
S3,27,10,MUSIC,0,diff,BEE2,BEE1,BP,CP,MH,BP,AC,MH,0,18-Jan-2020 21:09:12,0,1
S3,28,11,MUSIC,0,diff,BEE2,BEE1,MH,AC,MH,CP,BP,MH,1,18-Jan-2020 21:09:12,0,1
S3,29,25,INSTR,9,same,viulut,viulut,AC,AC,CP,MH,BP,CP,0,18-Jan-2020 21:09:13,0,1
S3,30,4,MUSIC,0,same,BEE1,BEE1,CP,MH,CP,AC,BP,MH,0,18-Jan-2020 21:09:12,0,0
S3,31,31,INSTR,15,diff,viulut,viulut2,MH,CP,AC,BP,MH,AC,0,18-Jan-2020 21:09:13,0,1
S3,32,7,MUSIC,0,diff,BEE1,BEE2,MH,BP,AC,MH,CP,AC,0,18-Jan-2020 21:09:12,0,0
S4,1,18,INSTR,2,same,viulut,viulut,BP,BP,MH,AC,CP,BP,1,18-Jan-2020 21:09:13,0,1
S4,2,19,INSTR,3,same,viulut,viulut,MH,MH,AC,CP,BP,MH,1,18-Jan-2020 21:09:13,0,1
S4,3,1,MUSIC,0,same,BEE1,BEE1,AC,BP,CP,MH,AC,AC,1,18-Jan-2020 21:09:12,0,0
S4,4,16,MUSIC,0,same,BEE2,BEE2,CP,AC,CP,BP,MH,BP,0,18-Jan-2020 21:09:12,0,1
S4,5,17,INSTR,1,same,viulut,viulut,AC,BP,CP,MH,AC,MH,0,18-Jan-2020 21:09:13,0,1
S4,6,2,MUSIC,0,same,BEE1,BEE1,BP,AC,MH,BP,CP,BP,1,18-Jan-2020 21:09:12,0,0
S4,7,6,MUSIC,0,diff,BEE1,BEE2,BP,AC,CP,MH,BP,BP,1,18-Jan-2020 21:09:12,0,0
S4,8,14,MUSIC,0,same,BEE2,BEE2,BP,AC,BP,MH,CP,AC,0,18-Jan-2020 21:09:12,0,1
S4,9,29,INSTR,13,diff,viulut,viulut2,AC,MH,AC,CP,BP,BP,0,18-Jan-2020 21:09:13,0,1
S4,10,11,MUSIC,0,diff,BEE2,BEE1,MH,MH,BP,AC,CP,CP,0,18-Jan-2020 21:09:12,0,1
S4,11,5,MUSIC,0,diff,BEE1,BEE2,AC,CP,BP,MH,AC,CP,0,18-Jan-2020 21:09:12,0,0
S4,12,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,BP,CP,MH,BP,0,18-Jan-2020 21:09:12,0,0
S4,13,9,MUSIC,0,diff,BEE2,BEE1,AC,AC,BP,MH,CP,MH,0,18-Jan-2020 21:09:12,0,1
S4,14,21,INSTR,5,diff,viulut,viulut2,AC,MH,AC,BP,CP,BP,0,18-Jan-2020 21:09:13,0,1
S4,15,15,MUSIC,0,same,BEE2,BEE2,MH,MH,CP,BP,AC,CP,0,18-Jan-2020 21:09:12,0,1
S4,16,20,INSTR,4,same,viulut,viulut,CP,AC,MH,BP,CP,MH,0,18-Jan-2020 21:09:13,0,1
S4,17,22,INSTR,6,diff,viulut,viulut2,BP,AC,MH,CP,BP,AC,0,18-Jan-2020 21:09:13,0,1
S4,18,4,MUSIC,0,same,BEE1,BEE1,CP,CP,MH,AC,BP,AC,0,18-Jan-2020 21:09:12,0,0
S4,19,12,MUSIC,0,diff,BEE2,BEE1,CP,AC,BP,MH,CP,MH,0,18-Jan-2020 21:09:12,0,1
S4,20,3,MUSIC,0,same,BEE1,BEE1,MH,AC,BP,CP,MH,BP,0,18-Jan-2020 21:09:12,0,0
S4,21,31,INSTR,15,diff,viulut,viulut2,MH,AC,MH,CP,BP,AC,0,18-Jan-2020 21:09:13,0,1
S4,22,30,INSTR,14,diff,viulut,viulut2,BP,BP,MH,CP,AC,AC,0,18-Jan-2020 21:09:13,0,1
S4,23,28,INSTR,12,same,viulut,viulut,CP,AC,BP,CP,MH,AC,0,18-Jan-2020 21:09:13,0,1
S4,24,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,MH,BP,CP,MH,0,18-Jan-2020 21:09:12,0,1
S4,25,24,INSTR,8,diff,viulut,viulut2,CP,AC,BP,CP,MH,CP,1,18-Jan-2020 21:09:13,0,1
S4,26,32,INSTR,16,diff,viulut,viulut2,CP,AC,CP,BP,MH,CP,1,18-Jan-2020 21:09:13,0,1
S4,27,26,INSTR,10,same,viulut,viulut,BP,BP,AC,MH,CP,BP,1,18-Jan-2020 21:09:13,0,1
S4,28,8,MUSIC,0,diff,BEE1,BEE2,CP,AC,MH,CP,BP,CP,1,18-Jan-2020 21:09:12,0,0
S4,29,23,INSTR,7,diff,viulut,viulut2,MH,MH,CP,BP,AC,MH,1,18-Jan-2020 21:09:13,0,1
S4,30,13,MUSIC,0,same,BEE2,BEE2,AC,MH,BP,AC,CP,AC,1,18-Jan-2020 21:09:12,0,1
S4,31,27,INSTR,11,same,viulut,viulut,MH,AC,MH,CP,BP,BP,0,18-Jan-2020 21:09:13,0,1
S4,32,25,INSTR,9,same,viulut,viulut,AC,MH,BP,CP,AC,MH,0,18-Jan-2020 21:09:13,0,1
S5,1,10,MUSIC,0,diff,BEE2,BEE1,BP,MH,CP,AC,BP,BP,1,18-Jan-2020 21:09:12,0,1
S5,2,22,INSTR,6,diff,viulut,viulut2,BP,BP,CP,MH,AC,CP,0,18-Jan-2020 21:09:13,0,1
S5,3,27,INSTR,11,same,viulut,viulut,MH,CP,BP,AC,MH,BP,0,18-Jan-2020 21:09:13,0,1
S5,4,4,MUSIC,0,same,BEE1,BEE1,CP,MH,AC,CP,BP,AC,0,18-Jan-2020 21:09:12,0,0
S5,5,17,INSTR,1,same,viulut,viulut,AC,CP,AC,BP,MH,CP,0,18-Jan-2020 21:09:13,0,1
S5,6,21,INSTR,5,diff,viulut,viulut2,AC,AC,MH,CP,BP,MH,0,18-Jan-2020 21:09:13,0,1
S5,7,25,INSTR,9,same,viulut,viulut,AC,BP,CP,AC,MH,CP,0,18-Jan-2020 21:09:13,0,1
S5,8,9,MUSIC,0,diff,BEE2,BEE1,AC,CP,MH,BP,AC,AC,1,18-Jan-2020 21:09:12,0,1
S5,9,15,MUSIC,0,same,BEE2,BEE2,MH,BP,MH,AC,CP,CP,0,18-Jan-2020 21:09:12,0,1
S5,10,18,INSTR,2,same,viulut,viulut,BP,MH,AC,BP,CP,BP,1,18-Jan-2020 21:09:13,0,1
S5,11,7,MUSIC,0,diff,BEE1,BEE2,MH,CP,BP,AC,MH,MH,1,18-Jan-2020 21:09:12,0,0
S5,12,31,INSTR,15,diff,viulut,viulut2,MH,BP,MH,CP,AC,AC,0,18-Jan-2020 21:09:13,0,1
S5,13,16,MUSIC,0,same,BEE2,BEE2,CP,MH,CP,BP,AC,MH,0,18-Jan-2020 21:09:12,0,1
S5,14,23,INSTR,7,diff,viulut,viulut2,MH,MH,BP,CP,AC,MH,1,18-Jan-2020 21:09:13,0,1
S5,15,2,MUSIC,0,same,BEE1,BEE1,BP,CP,BP,MH,AC,BP,1,18-Jan-2020 21:09:12,0,0
S5,16,32,INSTR,16,diff,viulut,viulut2,CP,AC,MH,BP,CP,AC,0,18-Jan-2020 21:09:13,0,1
S5,17,26,INSTR,10,same,viulut,viulut,BP,BP,CP,MH,AC,MH,0,18-Jan-2020 21:09:13,0,1
S5,18,11,MUSIC,0,diff,BEE2,BEE1,MH,AC,BP,CP,MH,AC,0,18-Jan-2020 21:09:12,0,1
S5,19,20,INSTR,4,same,viulut,viulut,CP,AC,CP,MH,BP,CP,1,18-Jan-2020 21:09:13,0,1
S5,20,19,INSTR,3,same,viulut,viulut,MH,MH,BP,CP,AC,MH,1,18-Jan-2020 21:09:13,0,1
S5,21,30,INSTR,14,diff,viulut,viulut2,BP,AC,MH,BP,CP,MH,0,18-Jan-2020 21:09:13,0,1
S5,22,8,MUSIC,0,diff,BEE1,BEE2,CP,BP,AC,CP,MH,MH,0,18-Jan-2020 21:09:12,0,0
S5,23,1,MUSIC,0,same,BEE1,BEE1,AC,BP,MH,CP,AC,MH,0,18-Jan-2020 21:09:12,0,0
S5,24,13,MUSIC,0,same,BEE2,BEE2,AC,BP,MH,AC,CP,CP,0,18-Jan-2020 21:09:12,0,1
S5,25,29,INSTR,13,diff,viulut,viulut2,AC,CP,BP,AC,MH,AC,1,18-Jan-2020 21:09:13,0,1
S5,26,3,MUSIC,0,same,BEE1,BEE1,MH,CP,MH,BP,AC,BP,0,18-Jan-2020 21:09:12,0,0
S5,27,12,MUSIC,0,diff,BEE2,BEE1,CP,CP,AC,BP,MH,CP,1,18-Jan-2020 21:09:12,0,1
S5,28,24,INSTR,8,diff,viulut,viulut2,CP,MH,AC,BP,CP,BP,0,18-Jan-2020 21:09:13,0,1
S5,29,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,BP,AC,CP,CP,0,18-Jan-2020 21:09:12,0,0
S5,30,28,INSTR,12,same,viulut,viulut,CP,MH,BP,AC,CP,AC,0,18-Jan-2020 21:09:13,0,1
S5,31,14,MUSIC,0,same,BEE2,BEE2,BP,BP,MH,AC,CP,MH,0,18-Jan-2020 21:09:12,0,1
S5,32,5,MUSIC,0,diff,BEE1,BEE2,AC,CP,AC,MH,BP,CP,0,18-Jan-2020 21:09:12,0,0
S6,1,14,MUSIC,0,same,BEE2,BEE2,BP,BP,AC,CP,MH,AC,0,18-Jan-2020 21:09:12,0,1
S6,2,8,MUSIC,0,diff,BEE1,BEE2,CP,MH,AC,BP,CP,CP,1,18-Jan-2020 21:09:12,0,0
S6,3,3,MUSIC,0,same,BEE1,BEE1,MH,MH,AC,BP,CP,MH,1,18-Jan-2020 21:09:12,0,0
S6,4,29,INSTR,13,diff,viulut,viulut2,AC,MH,BP,AC,CP,MH,0,18-Jan-2020 21:09:13,0,1
S6,5,26,INSTR,10,same,viulut,viulut,BP,CP,MH,AC,BP,MH,0,18-Jan-2020 21:09:13,0,1
S6,6,30,INSTR,14,diff,viulut,viulut2,BP,BP,MH,AC,CP,CP,0,18-Jan-2020 21:09:13,0,1
S6,7,1,MUSIC,0,same,BEE1,BEE1,AC,MH,AC,CP,BP,MH,0,18-Jan-2020 21:09:12,0,0
S6,8,4,MUSIC,0,same,BEE1,BEE1,CP,BP,MH,AC,CP,MH,0,18-Jan-2020 21:09:12,0,0
S6,9,31,INSTR,15,diff,viulut,viulut2,MH,AC,CP,MH,BP,CP,0,18-Jan-2020 21:09:13,0,1
S6,10,12,MUSIC,0,diff,BEE2,BEE1,CP,AC,MH,CP,BP,BP,0,18-Jan-2020 21:09:12,0,1
S6,11,16,MUSIC,0,same,BEE2,BEE2,CP,CP,AC,BP,MH,AC,0,18-Jan-2020 21:09:12,0,1
S6,12,20,INSTR,4,same,viulut,viulut,CP,AC,CP,BP,MH,BP,0,18-Jan-2020 21:09:13,0,1
S6,13,17,INSTR,1,same,viulut,viulut,AC,BP,CP,AC,MH,CP,0,18-Jan-2020 21:09:13,0,1
S6,14,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,CP,BP,MH,MH,1,18-Jan-2020 21:09:12,0,0
S6,15,22,INSTR,6,diff,viulut,viulut2,BP,BP,MH,AC,CP,CP,0,18-Jan-2020 21:09:13,0,1
S6,16,32,INSTR,16,diff,viulut,viulut2,CP,CP,BP,AC,MH,BP,0,18-Jan-2020 21:09:13,0,1
S6,17,2,MUSIC,0,same,BEE1,BEE1,BP,BP,MH,CP,AC,MH,0,18-Jan-2020 21:09:12,0,0
S6,18,10,MUSIC,0,diff,BEE2,BEE1,BP,MH,AC,BP,CP,AC,0,18-Jan-2020 21:09:12,0,1
S6,19,15,MUSIC,0,same,BEE2,BEE2,MH,AC,CP,BP,MH,CP,0,18-Jan-2020 21:09:12,0,1
S6,20,23,INSTR,7,diff,viulut,viulut2,MH,MH,CP,BP,AC,BP,0,18-Jan-2020 21:09:13,0,1
S6,21,25,INSTR,9,same,viulut,viulut,AC,AC,MH,CP,BP,MH,0,18-Jan-2020 21:09:13,0,1
S6,22,21,INSTR,5,diff,viulut,viulut2,AC,AC,BP,MH,CP,CP,0,18-Jan-2020 21:09:13,0,1
S6,23,5,MUSIC,0,diff,BEE1,BEE2,AC,CP,AC,MH,BP,BP,0,18-Jan-2020 21:09:12,0,0
S6,24,13,MUSIC,0,same,BEE2,BEE2,AC,AC,MH,CP,BP,MH,0,18-Jan-2020 21:09:12,0,1
S6,25,28,INSTR,12,same,viulut,viulut,CP,MH,CP,AC,BP,BP,0,18-Jan-2020 21:09:13,0,1
S6,26,19,INSTR,3,same,viulut,viulut,MH,AC,BP,MH,CP,BP,0,18-Jan-2020 21:09:13,0,1
S6,27,27,INSTR,11,same,viulut,viulut,MH,MH,CP,AC,BP,MH,1,18-Jan-2020 21:09:13,0,1
S6,28,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,CP,AC,BP,BP,1,18-Jan-2020 21:09:12,0,0
S6,29,9,MUSIC,0,diff,BEE2,BEE1,AC,BP,CP,AC,MH,AC,1,18-Jan-2020 21:09:12,0,1
S6,30,11,MUSIC,0,diff,BEE2,BEE1,MH,BP,AC,CP,MH,AC,0,18-Jan-2020 21:09:12,0,1
S6,31,18,INSTR,2,same,viulut,viulut,BP,MH,CP,AC,BP,CP,0,18-Jan-2020 21:09:13,0,1
S6,32,24,INSTR,8,diff,viulut,viulut2,CP,AC,CP,MH,BP,MH,0,18-Jan-2020 21:09:13,0,1
S7,1,3,MUSIC,0,same,BEE1,BEE1,MH,BP,AC,CP,MH,BP,0,18-Jan-2020 21:09:12,0,0
S7,2,5,MUSIC,0,diff,BEE1,BEE2,AC,AC,MH,BP,CP,AC,1,18-Jan-2020 21:09:12,0,0
S7,3,32,INSTR,16,diff,viulut,viulut2,CP,BP,AC,MH,CP,MH,0,18-Jan-2020 21:09:13,0,1
S7,4,13,MUSIC,0,same,BEE2,BEE2,AC,MH,AC,CP,BP,AC,1,18-Jan-2020 21:09:12,0,1
S7,5,19,INSTR,3,same,viulut,viulut,MH,CP,AC,BP,MH,BP,0,18-Jan-2020 21:09:13,0,1
S7,6,16,MUSIC,0,same,BEE2,BEE2,CP,AC,CP,BP,MH,MH,0,18-Jan-2020 21:09:12,0,1
S7,7,14,MUSIC,0,same,BEE2,BEE2,BP,MH,AC,BP,CP,CP,0,18-Jan-2020 21:09:12,0,1
S7,8,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,MH,CP,BP,CP,0,18-Jan-2020 21:09:12,0,0
S7,9,30,INSTR,14,diff,viulut,viulut2,BP,MH,BP,AC,CP,AC,0,18-Jan-2020 21:09:13,0,1
S7,10,6,MUSIC,0,diff,BEE1,BEE2,BP,MH,BP,AC,CP,CP,0,18-Jan-2020 21:09:12,0,0
S7,11,12,MUSIC,0,diff,BEE2,BEE1,CP,BP,CP,AC,MH,CP,1,18-Jan-2020 21:09:12,0,1
S7,12,11,MUSIC,0,diff,BEE2,BEE1,MH,MH,AC,CP,BP,MH,1,18-Jan-2020 21:09:12,0,1
S7,13,2,MUSIC,0,same,BEE1,BEE1,BP,BP,MH,AC,CP,CP,0,18-Jan-2020 21:09:12,0,0
S7,14,22,INSTR,6,diff,viulut,viulut2,BP,CP,AC,MH,BP,BP,1,18-Jan-2020 21:09:13,0,1
S7,15,26,INSTR,10,same,viulut,viulut,BP,CP,BP,AC,MH,CP,0,18-Jan-2020 21:09:13,0,1
S7,16,27,INSTR,11,same,viulut,viulut,MH,CP,BP,MH,AC,AC,0,18-Jan-2020 21:09:13,0,1
S7,17,29,INSTR,13,diff,viulut,viulut2,AC,MH,BP,AC,CP,BP,0,18-Jan-2020 21:09:13,0,1
S7,18,28,INSTR,12,same,viulut,viulut,CP,AC,CP,BP,MH,AC,0,18-Jan-2020 21:09:13,0,1
S7,19,18,INSTR,2,same,viulut,viulut,BP,AC,CP,MH,BP,BP,1,18-Jan-2020 21:09:13,0,1
